"silver" silver=1

"power" power=1

"prone" prone=1
"megaprone" prone=2

"offensive" offense=1
"slanderous" offense=2

"defensive" defense=1
"turtley" defense=2

"deadeye" deadeye=1

"vorpal" crit=1

"dancing" dance=1

"glowing" glowing=1

"salvaging" salvage=1
"preserving" salvage=-1

"annihilating" crit=3 offense=3 prone=1 power=1 silver=1 vorpal=1
"obliterated" crit=-3 offense=-3 defense=-3 prone=-1 power=-1
"all messed up" crit=2 offense=-1 prone=1 power=-1 silver=1 vorpal=1 deadeye=-1 defense=2

"lethal" lethal=1

"shattering" shatter=1
"megashattering" shatter=2
"rebuilding" shatter=-1

"poisonous" poison=1
"megapoisonous" poison=2
"antidote-ing" poison=-1

"venomous" venom=1
"megavenomous" venom=2
"anti-venom" venom=-1

"vampiric" vampire=1
"megavampiric" vampire=2
"garlic" vampire=-1
