"Sedgwick" class=Barbarian
"Latin" class=Jester
"Koa" 
"Earl of Sandwich" class=SandwichArtist
"Linus Torvalds" class=Bitomancer
"Steve Jobs" class=Bitomancer
"Bill Gates" class=Bitomancer
"Steve Wozniak" class=Bitomancer
"tmservo433" class=Bitomancer
"Ronald Wayne" class=Bitomancer
"Paul Allen" class=Bitomancer
"Gordon Moore" class=Bitomancer
"Robert Noyce" class=Bitomancer
"Edward Snowden" class=Bitomancer
"Alan Turing" class=Bitomancer
"Futureman" class=Bitomancer
"Heavy" class=SandwichArtist
"Stumblemore" class=Mage
"Subparway" class=SandwichArtist
"MCMJ" class=Cleric
"Lovable" class=Rogue
"Skelly Temple" class=Necromancer
