Kirierath, The Goddess of Riches
Ishkalorht, The God of Rampage and Brawling
Shashkajze, The God of Items
Ulrya, The Goddess of Time
Sarda, The Wizard Who Did It
Zardoz, The Angel of Weird Sean Connery Movies
Thalynas, The Goddess of Destruction And Stopping Battles Prematurely
Tytlous, The God of Breaking Fancy Dinnerware
Ganomulus, The God of Garden Gnomes and Lost Laundry
Juliusei, the God of Alchohol
Fellatia, the Goddess of Pleasure
Tholsqueds, the Master of Motley
Tetrolix, the God of Pharmaceuticals
Razzafraz, Trickster of Tunes
Keratux, God of Hair
Fabius, God of Fashion
Ars, God of Rhetorical Questions
Ui, God of Difficult Pronunciation
Ytilsu, The Grand Horror
Juk-Unth of Many Legs
Ukadi, The Great Dragon
Supreme Being Reginald Regalius, The Demigod of Trying too Hard
